=~=~=~=~=~=~=~=~=~=~=~= MobaXterm log 2026.06.02 11:00:08 =~=~=~=~=~=~=~=~=~=~=~=
{"fn":123978,"r0":0.985931,"r1":1.057621,"r2":2.030039}
{"fn":123979,"r0":0.985111,"r1":1.148080,"r2":2.029474}
{"fn":123980,"r0":0.985067,"r1":1.149466,"r2":2.030180}
{"fn":123981,"r0":0.983778,"r1":1.057621,"r2":2.029830}
{"fn":123982,"r0":0.988434,"r1":1.149208,"r2":2.030033}
{"fn":123983,"r0":0.986011,"r1":1.148582,"r2":2.029710}
{"fn":123984,"r0":0.986256,"r1":1.146973,"r2":2.029824}
{"fn":123985,"r0":0.988446,"r1":1.150090,"r2":2.029620}
{"fn":123986,"r0":0.983955,"r1":1.149312,"r2":2.029092}
{"fn":123987,"r0":0.988436,"r1":1.148673,"r2":2.029017}
{"fn":123988,"r0":0.983926,"r1":1.148625,"r2":2.029809}
{"fn":123989,"r0":0.988144,"r1":1.152280,"r2":2.029804}
{"fn":123990,"r0":0.985327,"r1":1.149197,"r2":2.029603}
{"fn":123991,"r0":0.985380,"r1":1.148974,"r2":2.030313}
{"fn":123992,"r0":0.987377,"r1":1.150915,"r2":2.029817}
{"fn":123993,"r0":0.987951,"r1":1.149845,"r2":2.029831}
{"fn":123994,"r0":0.985549,"r1":1.149236,"r2":2.029723}
{"fn":123995,"r0":0.985375,"r1":1.148278,"r2":2.029890}
{"fn":123996,"r0":0.988566,"r1":1.149341,"r2":2.029662}
{"fn":123997,"r0":0.986628,"r1":1.147588,"r2":2.029522}
{"fn":123998,"r0":0.984359,"r1":1.149067,"r2":2.029346}
{"fn":123999,"r0":0.984588,"r1":1.148824,"r2":2.029232}
{"fn":124000,"r0":0.987602,"r1":1.148251,"r2":2.028715}
{"fn":124001,"r0":0.988276,"r1":1.147546,"r2":2.029176}
{"fn":124002,"r0":0.984431,"r1":1.147359,"r2":2.029049}
{"fn":124003,"r0":0.985817,"r1":1.148605,"r2":2.029318}
{"fn":124004,"r0":0.989111,"r1":1.151224,"r2":2.029041}
{"fn":124005,"r0":0.986915,"r1":1.057621,"r2":2.029221}
{"fn":124006,"r0":0.985784,"r1":1.150661,"r2":2.028817}
{"fn":124007,"r0":0.987284,"r1":1.147286,"r2":2.028793}
{"fn":124008,"r0":0.986436,"r1":1.147136,"r2":2.029026}
{"fn":124009,"r0":0.986108,"r1":1.150142,"r2":2.028962}
{"fn":124010,"r0":0.987344,"r1":1.151203,"r2":2.029164}
{"fn":124011,"r0":0.986332,"r1":1.149235,"r2":2.029255}
{"fn":124012,"r0":0.985902,"r1":1.057621,"r2":2.029251}
{"fn":124013,"r0":0.987376,"r1":1.148762,"r2":2.029059}
{"fn":124014,"r0":0.987841,"r1":1.149774,"r2":2.029056}
{"fn":124015,"r0":0.987277,"r1":1.149660,"r2":2.029506}
{"fn":124016,"r0":0.987176,"r1":1.149549,"r2":2.029470}
{"fn":124017,"r0":0.987071,"r1":1.057621,"r2":2.028785}
{"fn":124018,"r0":0.986625,"r1":1.057621,"r2":2.028995}
{"fn":124019,"r0":0.986740,"r1":1.057621,"r2":2.029097}
{"fn":124020,"r0":0.986969,"r1":1.147536,"r2":2.028722}
{"fn":124021,"r0":0.987467,"r1":1.149615,"r2":2.029260}
{"fn":124022,"r0":0.986861,"r1":1.057621,"r2":2.029057}
{"fn":124023,"r0":0.986874,"r1":1.150216,"r2":2.028878}
{"fn":124024,"r0":0.986406,"r1":1.150226,"r2":2.029350}
{"fn":124025,"r0":0.987139,"r1":1.149500,"r2":2.029226}
{"fn":124026,"r0":0.987309,"r1":1.057621,"r2":2.028763}
{"fn":124027,"r0":0.986772,"r1":1.057621,"r2":2.029119}
{"fn":124028,"r0":0.986552,"r1":1.148691,"r2":2.029866}
{"fn":124029,"r0":0.987292,"r1":1.149091,"r2":2.029816}
{"fn":124030,"r0":0.988051,"r1":1.149302,"r2":2.029107}
{"fn":124031,"r0":0.987341,"r1":1.150248,"r2":2.028640}
{"fn":124032,"r0":0.987728,"r1":1.149969,"r2":2.028732}
{"fn":124033,"r0":0.987863,"r1":1.149199,"r2":2.028959}
{"fn":124034,"r0":0.987570,"r1":1.148221,"r2":2.029354}
{"fn":124035,"r0":0.986407,"r1":1.150318,"r2":2.029607}
{"fn":124036,"r0":0.989652,"r1":1.150323,"r2":2.028994}
{"fn":124037,"r0":0.987722,"r1":1.149031,"r2":2.029539}
{"fn":124038,"r0":0.986049,"r1":1.057621,"r2":2.029497}
{"fn":124039,"r0":0.987408,"r1":1.148111,"r2":2.028787}
{"fn":124040,"r0":0.987481,"r1":1.057621,"r2":2.028915}
{"fn":124041,"r0":0.985912,"r1":1.148615,"r2":2.028919}
{"fn":124042,"r0":0.988979,"r1":1.152157,"r2":2.027784}
{"fn":124043,"r0":0.986687,"r1":1.057621,"r2":2.024848}
{"fn":124044,"r0":0.979671,"r1":2.021704,"r2":2.806020}
{"fn":124045,"r0":0.982136,"r1":1.998862,"r2":2.020267}
{"fn":124046,"r0":0.975081,"r1":1.183703,"r2":2.016329}
{"fn":124047,"r0":0.972570,"r1":2.012143,"r2":2.809613}
{"fn":124048,"r0":0.976409,"r1":1.138314,"r2":2.007781}
{"fn":124049,"r0":0.970832,"r1":1.087217,"r2":2.002814}
{"fn":124050,"r0":0.973534,"r1":1.146533,"r2":1.998171}
{"fn":124051,"r0":0.974985,"r1":1.158734,"r2":1.994990}
{"fn":124052,"r0":0.964555,"r1":1.154601,"r2":1.989568}
{"fn":124053,"r0":0.957361,"r1":1.985118,"r2":2.797834}
{"fn":124054,"r0":0.960120,"r1":1.979767,"r2":2.989059}
{"fn":124055,"r0":0.968426,"r1":1.972023,"r2":2.987769}
{"fn":124056,"r0":0.965824,"r1":1.134507,"r2":1.962742}
{"fn":124057,"r0":0.956004,"r1":1.117769,"r2":1.954479}
